EHTOKOODI;EHTO;EHTOR
E83;Temgesic valmisteiden käyttö opioidiriippuvaisten henkilöiden vieroitus- tai korvaushoidossa on luvallista vain siten rajattuna kuin sosiaali- ja terveysministeriön asetuksessa N:o 33/2008 on esitetty. Valmistetta saadaan toimittaa vain lääkärin erillisellä alkuperäisellä reseptillä sairaalassa aloitettuun jatkohoitoon.;Användning av läkemedelspreparat Temgesic vid avgiftning eller ersättningsterapi gällande personer med opioidberoende är tillåten endast med de begränsningar som anges i social- och hälsovårdsministeriets förordning N:o 33/2008. Preparatet får expedieras endast mot skilt originalrecept för i sjukhus påbörjad eftervård.
E85;Temotsolomidia määräävän lääkärin tulee olla perehtynyt aivokasvainten hoitoon.;Temozolomid skall endast förskrivas av läkare med erfarenhet av behandling av hjärntumörer.
E86;Valmistetta saa määrätä vain elinsiirtoja seuraavaan, immunosuppressiiviseen lääkehoitoon perehtynyt lääkäri.;Preparatet skall endast ordineras av läkare med erfarenhet av immunsuppressiv terapi följande organtransplantation.
E195;Hoidon tulee tapahtua MPS VI:n tai muiden perinnöllisten aineenvaihduntasairauksien hoitoon perehtyneen lääkärin valvonnassa. Lääkevalmisteen annon tulee tapahtua asianmukaisessa hoitopaikassa, jossa lääketieteellisissä hätätilanteissa tarvittava elvytyslaitteisto on välittömästi saatavilla.;Behandling skall ske under övervakning av en läkare med erfarenhet av hantering av patienter med MPS VI eller andra ärftliga metaboliska sjukdomar. Preparatet måste administreras på lämplig klinik där återupplivningsutrustning för att hantera medicinska akutsituationer finns lätt tillgänglig.
E196;Hoidon aloittaa lääkäri, jolla on kokemusta solunsalpaajahoidosta, tai hoito on aloitettava yhteistyössä tällaisen lääkärin kanssa.;Behandling skall initieras av en läkare som har erfarenhet av behandling med cytostatika eller behandling skall initieras under kontroll av en sådan läkare.
E197;Hoidon tulee tapahtua vain kirurgisiin tauteihin tai syöpätauteihin perehtyneen lääkärin valvonnassa.;Behandling skall ske under övervakning av en läkare med erfarenhet av kirurgiska sjukdomar eller i cancersjukdomar.
E198;Injektion antavalla silmälääkärillä on oltava kokemusta lasiaisen sisään annettavista injektioista.;Behandling är endast avsedd för intravitreal injektion och bör ges av ögonläkare med erfarenhet av intravitreala injektioner.
E199;Valmistetta saavat käyttää vain radioaktiivisten lääkkeiden käyttöön koulutettu hoitohenkilökunta.;Preparatet skall endast användas av vårdpersonal som fått utbildning för användning av radioaktiva medel.
E200;Hoito tulee antaa sellaisen lääkärin valvonnassa, jolla on kokemusta Pompen tautia tai muita perinnöllisiä metabolisia tai neuromuskulaarisia tauteja sairastavien potilaiden hoidosta.;Behandling skall övervakas av läkare med erfarenhet av behandling av patienter med Pompes sjukdom eller andra ärftliga metaboliska eller neuromuskulära sjukdomar.
E201;Hoito aloitetaan ja toteutetaan neurologisten sairauksien diagnosointiin ja hoitoon perehtyneen erikoislääkärin määräyksestä ja valvonnassa yksikössä, jolla on valmiudet pikaiseen magneettikuvien ottamiseen.;Behandling skall initieras och övervakas av specialistläkare med erfarenhet av diagnos och behandling av neurologiska sjukdomar, på kliniker med tillgång till MRT inom rimlig tid.
E202;Hoito tulee aloittaa synnynnäistä antitrombiinin puutosta sairastavien potilaiden hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen av patienter med kongenital antitrombinbrist skall initieras och övervakas av koagulationskunnig läkare.
E203;Hoidon aloittavan lääkärin tulee olla perehtynyt munuaissyövän (MRCC) tai ruoansulatuskanavan stroomakasvainten (GIST) hoitoon.;Behandlingen skall initieras av läkare med erfarenhet av behandling av njurcellscancer respektive GIST.
E205;Valmistetta saavat antaa vain varjoainetehosteisen kaikukardiografian tekemiseen ja tulkintaan perehtyneet lääkärit, joilla on vaadittava tekninen asiantuntemus.;Preparatet skall endast adminstreras av läkare som utbildats för, och har erfarenhet av utförandet och tolkningen av ekokardiogram med kontrast.
E274;Valmiste annetaan terveydenhuollon ammattilaisen vastuulla.;Preparatet ska administreras under överinseende av vårdpersonal.
E194;Oksaliplatiinia tulee käyttää vain onkologiaan erikoistuneissa yksiköissä ja antaa vain kokeneen onkologin valvonnassa.;Oksaliplatin får användas endast i enheter specialiserade på onkologi och bör endast administreras i övervakning av en erfaren onkolog.
E206;Hoito tulee aloittaa allergioiden hoitoon perehtyneen erikoislääkärin toimesta.;Behandlingen bör initieras av en specialist med erfarenhet av allergierna.
E219;Hoito tulee aloittaa hyytymishäiriöihin perehtyneen lääkärin valvonnassa.;Behandling bör påbörjas under ledning av en läkare med erfarenhet av koagulationsstörningar.
E208;Lääkehoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt Alzheimerin taudin (dementian) tai Parkinsonin tautiin liittyvän dementian diagnosointiin ja hoitoon.;Behandling bör initieras och övervakas av läkare med erfarenhet av diagnos och behandling av Alzheimers sjukdom eller demens vid Parkinsons sjukdom.
E209;Valmistetta saa antaa vain pikkulasten ja lasten epilepsian diagnosointiin ja hoitoon perehtyneiden lastentautien tai lastenneurologian erikoislääkäreiden valvonnassa.;Preparatet skall endast administreras under överinseende av pediatriker/pediatrisk neurolog med erfarenhet av diagnos och behandling av epilepsi hos spädbarn och barn.
E210;Hoidon saa aloittaa epilepsian hoitoon perehtynyt lastentautien erikoislääkäri tai neurologi.;Behandling skall inledas av läkare som är specialist i pediatrik eller neurologi och med erfarenhet av behandling av epilepsi.
E211;Valmistetta tulee antaa homokystinuriapotilaiden hoitoon perehtyneen lääkärin valvonnassa.;Preparatet bör användas och övervakas av en läkare med erfarenhet av behandling av patienter med homocystinuri.
E212;Valmistetta voi vain markkinoida kun WHO/EU on virallisesti julistanut influenssapandemian, sillä ehdolla, että myyntiluvan haltija ottaa virallisen pandemisen viruskannan huomioon.;Preparatet får endast marknadsföras när det finns en officiell deklaration från WHO/EU om en pandemisk influensa, under förutsättning att innehavaren av godkännandet för försäljning tar hänsyn till den officiellt tillkännagivna pandemistammen.
E213;Valmistetta saa määrätä ja immunosuppressiivista hoitoa muuttaa ainoastaan lääkäri, jolla on kokemusta immunosuppressiivisesta lääkityksestä ja elinsiirtopotilaiden hoidosta.;Endast läkare med erfarenhet av immunsuppressiv terapi och vård av organtransplanterade patienter skall förskriva läkemedlet och initiera ändringar i den immunsuppressiva behandlingen.
E215;Hoidon aloittaa ja sitä valvoo psykiatri.;Behandling skall initieras och övervakas av psykiater.
E216;Hoito tulee aloittaa ja sitä tulee seurata multippelin myelooman (MM) hoitoon perehtyneiden lääkäreiden valvonnassa.;Behandlingen måste inledas och övervakas under överinseende av läkare med erfarenhet av behandling av multipelt myelom (MM).
E217;Sirppisoluanemian hoitoon perehtyneen lääkärin tulee aloittaa hoito.;Behandlingen skall initieras av en läkare med erfarenhet av behandling av sicklecellsyndrom.
E218;Valmistetta saa antaa vain hematologisia häiriöitä sairastavien potilaiden hoitoon perehtyneen lääkärin valvonnassa.;Preparatet ska administreras under överinseende av en läkare som har erfarenhet av att behandla patienter med blodsjukdomar.
E220;Valmistetta saavat antaa ainoastaan sellaiset lääkärit, joilla on kliinistä kokemusta magneettikuvauksista.;Preparatet skall endast administreras av läkare med praktisk erfarenhet av klinisk magnetisk resonanstomografi.
E221;Hoito on aloitettava munuaisten vajaatoiminnan hoitoon perehtyneen lääkärin valvonnassa.;Behandling ska initieras under översyn av en läkare med erfarenhet av behandling av patienter med nedsatt njurfunktion.
E222;Vain sisätautien ja reumasairauksien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i inre medicin och i reumatologi och i av dem påbörjad eftervård.
E223;Valmistetta tulee antaa sytotoksisten aineiden käyttöön perehtyneen lääkärin valvonnassa.;Preparatet får endast administreras under överinseende av en läkare med erfarenhet av att använda cytotoxiska medel.
E224;Hoitoa on annettava sellaisten lääkäreiden valvonnassa, joilla on kokemusta kasvuhäiriöitä sairastavien potilaiden diagnostiikasta ja hoidosta.;Behandling bör förskrivas av läkare som har erfarenhet av diagnos och vård av patienter med tillväxtsjukdomar.
E225;Tätä lääkevalmistetta saavat käyttää ainoastaan kokeneet neurokirurgit, jotka ovat perehtyneet malignien glioomien kirurgiaan, ja joilla on perusteelliset tiedot aivojen toimintaan liittyvästä rakenteesta, ja jotka ovat suorittaneet fluoresenssilla ohjatun kirurgian koulutuskurssin.;Detta läkemedel ska endast användas av erfarna neurokirurger förtrogna med operation av maligna gliom och fördjupad kunskap inom funktionell hjärnanatomi, vilka har fullföljt en utbildning i fluorescensstyrd kirurgi.
E226;Tätä lääkevalmistetta saavat käyttää vain lääkärit, joilla on fluoresoivan angiografiatutkimuksen tekemiseen ja tulkintaan liittyvää teknistä asiantuntemusta.;Detta preparat får användas endast av läkare som har teknisk expertis i utförande och tolkning av fluoresceinangiografi.
E275;Hoidon saa aloittaa nivelreuman tai yleisoireisen lastenreuman diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling ska initieras av läkare med erfarenhet av diagnos och behandling av reumatoid artrit eller systemisk juvenil idiopatisk artrit.
E227;Hoidon saa aloittaa kroonisen myelooisen leukemian (KML) diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandlingen bör inledas av läkare med erfarenhet av diagnos och behandling av patienter med kronisk myeloisk leukemi (KML).
E228;Hoitoa tulee valvoa lääkäri tai muu terveydenhoidon ammattilainen, jolla on kokemusta mukopolysakkaridoosi II (MPS II) tai muuta periytyvää aineenvaihduntahäiriötä sairastavien potilaiden hoidosta.;Behandling skall övervakas av läkare eller annan legitimerad sjukvårdspersonal med erfarenhet av behandling av patienter med sjukdomen mukopolysackaridos II (MPS II) eller andra ärftliga metaboliska sjukdomar.
E229;Hoito tulee toteuttaa nivelreuman, nivelpsoriaasin, selkärankareuman, tulehduksellisten suolistosairauksien tai psoriaasin diagnosointiin ja hoitoon perehtyneen lääkärin aloittamana ja valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit, psoriasisartrit, ankyloserande spondylit, inflammatoriska tarmsjukdomar eller psoriasis.
E231;Von Willebrandin taudin (VWD) ja A-hemofilian hoito tulee aloittaa veren hyytymishäiriöihin perehtyneen lääkärin valvonnassa.;Behandling av von Willebrand's sjukdom (VWD) och A-hemofili skall påbörjas under kontroll av en läkare som har erfarenhet av behandling av koagulationsstörningar.
E174;Itsehoitovalmisteen toimittamiseen liitetyt ehdot: Lääkevalmistetta saa myydä ja markkinoida lasten lievän tai kohtalaisen kivun ja kuumeen oireenmukaiseen hoitoon. Tällaisia kuume- ja kiputiloja ovat mm. päänsärky, hammassärky, korvasärky, muut yleiset särky- ja kiputilat, nuhakuume, rokotuksiin liittyvät kuumeilu ja kivut. Hyväksytty annostus on 1 tabletti korkeintaan 3 kertaa vuorokaudessa 9 - 16 kg:n painoisille lapsille. Alle 9 kg painaville lapsille ja jatkuvaan käyttöön vain lääkärin ohjeen mukaan.;Villkoren för expediering av läkemedel som kan köpas utan recept för egenvård: Preparatet får säljas och marknadsföras för symptomatisk behandling av barnens lindriga eller måttliga värk och feber. Sådana smärt- och febertillstånd är till exempel huvudvärk, tandvärk, öronvärk, andra allmänna smärt- och värktillstånd, förkylning samt värk och feber förorsakad av vaccination. Dosering är 1 tablett för barn 9-16 kg högst 3 gånger per dygn. För barn under 9 kg och för långvarigt bruk endast efter läkarens ordination.
E270;Hoito on aloitettava ja sitä on seurattava immuunipuutostilojen hoitoon perehtyneen terveydenhuollon ammattilaisen valvonnassa.;Behandling ska påbörjas och till en början övervakas under ledning av sjukvårdspersonal med erfarenhet av behandling av immunbrist.
E269;Hoidon saa aloittaa ja jatkohoidon toteuttaa lääkäri, jolla on kokemusta idiopaattisen keuhkofibroosin diagnosoinnista ja hoidosta.;Behandling bör initieras och övervakas av läkare med erfarenhet av diagnostik och behandling av IPF.
E271;Hoito tulisi aloittaa ja jatkohoito toteuttaa immunosuppressiiviseen hoitoon ja munuaissiirrepotilaiden hoitoon perehtyneen lääkärin toimesta.;Behandling ska förskrivas och övervakas av specialistläkare med erfarenhet av immunsuppressiv behandling och vård av njurtransplanterade patienter.
E272;Hoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt systeemisen lupus erythematosuksen (SLE) diagnosointiin ja hoitoon.;Behandling ska inledas och övervakas av en kvalificerad läkare med erfarenhet av diagnostisering och behandling av Systemisk Lupus Erythematosus (SLE).
E273;Hoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt idiopaattisen juveniilin artriitin tai lapsilla esiintyvän läiskäpsoriaasin hoitoon.;Behandlingen ska initieras och övervakas av en läkare med erfarenhet av behandling av juvenil idiopatisk artrit eller plaquepsoriasis hos pediatriska patienter.
E268;Hoito tulee aloittaa ja seuranta toteuttaa MS-taudin hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen ska inledas och övervakas av en läkare med erfarenhet av multipel skleros.
E276;Hoidon aloittavalla lääkärillä tulee olla kokemusta tuberoosiskleroosin (TSC) hoidon toteuttamisesta ja lääkeainepitoisuuksien seurannasta.;Behandling med preparatet ska inledas av läkare med erfarenhet av behandling av patienter med tuberös skleros (TSC) och terapeutisk läkemedelsövervakning.
E279;Hoito on aloitettava ja toteutettava transtyretiinivälitteisen amyloidipolyneuropatian hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör inledas och kvarstå under tillsyn av läkare med kunskap om behandling av patienter med transtyretinamyloidos med polyneuropati.
E280;Valmistetta saa käyttää vain fotodynaamiseen hoitoon perehtyneen lääkärin, hoitajan tai muun hoitohenkilöstöön kuuluvan valvonnassa.;Preparatet ska endast administreras under överinseende av läkare, sjuksköterska eller annan hälso- och sjukvårdspersonal med erfarenhet av användning av fotodynamisk behandling.
E281;Nivelreuman tai juveniilin idiopaattisen polyartriitin diagnosointiin ja hoitoon perehtyneen erikoislääkärin on aloitettava hoito ja valvottava sen toteuttamista.;Behandlingen ska initieras och övervakas av specialistläkare med erfarenhet av att diagnostisera och behandla reumatoid artrit eller JIA.
E282;Hoito tulee toteuttaa idiopaattisen juveniili polyartriitin diagnosointiin ja hoitoon perehtyneen lääkärin aloittamana ja valvonnassa.;Behandling med läkemedel bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av polyartikulär juvenil idiopatisk artrit.
E284;Lääkehoito tulee antaa akuuttia lymfoblastileukemiaa sairastavien potilaiden hoitoon perehtyneen lääkärin tai muun terveydenhoitoalan ammattilaisen valvonnassa.;Behandling med läkemedel bör övervakas av läkare eller annan hälso- och sjukvårdspersonal med erfarenhet av behandling av patienter med ALL.
E232;Hoito aloitetaan ja toteutetaan kemoterapiaan perehtyneen lääkärin toimesta.;Behandling bör påbörjas och kontrolleras av läkare med erfarenhet av kemoterapi.
E233;Hoito on aloitettava ja annettava syöpäpotilaiden opioidihoitoon perehtyneen lääkärin ohjauksessa.;Behandlingen skall initieras och övervakas av läkare med erfarenhet av opioidbehandling hos cancerpatienter.
E234;Hoidon saa aloittaa lääkäri, jolla on kokemusta sieni-infektioiden hoidosta.;Preparatet bör initieras av en läkare med erfarenhet av behandling av systemiska svamp-infektioner.
E235;Hoidon saa aloittaa HIV-infektion ja/tai kroonisen hepatiitti B-infektion hoitoon perehtynyt lääkäri.;Behandling skall endast initieras av läkare med erfarenhet av att behandla HIV-infektioner och/eller behandling för kronisk hepatit B.
E239;Solunsalpaajien käyttöön perehtyneen lääkärin tulisi aloittaa hoito.;Behandling ska endast påbörjas av läkare som har erfarenhet av behandling av cytostika.
E241;Hoito tulee toteuttaa nivelreuman, idiopaattisen juveniili polyartriitin, nivelpsoriaasin, selkärankareuman, tulehduksellisten suolistosairauksien tai psoriaasin diagnosointiin ja hoitoon perehtyneen lääkärin aloittamana ja valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit, polyartikulär juvenil idiopatisk artrit, psoriasisartrit, ankyloserande spondylit, inflammatoriska tarmsjukdomar eller psoriasis.
E242;Hoito tulee aloittaa ja hoitoa tulee ylläpitää fenyyliketonurian (PKU) ja tetrahydrobiopteriinin (BH4) puutoksen hoitoon perehtyneen lääkärin valvonnassa.;Behandling måste initieras och övervakas av läkare med erfarenhet av behandling av fenylketonuri (PKU) och tetrahydrobiopterinbrist (BH4-brist).
E243;Injektio tulee antaa sellaisessa terveydenhuollon yksikössä jossa potilasta voidaan valvoa asianmukaisen pätevyyden omaavan henkilöstön toimesta vähintään 3 tunnin ajan lääkkeen annon jälkeen yliannokseen viittaavien oireiden ja löydösten varalta.;Injektionen skall administreras i en hälsovårdsenhet där patienten kan observeras av kvalificerad personal i minst 3 timmar efter administreringen av injektionen med avseende på tecken och symtom tydande på överdos.
E244;Valmiste on tarkoitettu käytettäväksi psoriaasin diagnosointiin ja hoitoon perehtyneen lääkärin ohjauksessa ja seurannassa.;Preparatet är avsett att användas under vägledning och övervakning av läkare med erfarenhet från diagnostik och behandling av psoriasis.
E245;Hoito tulisi aloittaa diabeettisten haavaumien hoitoon perehtyneiden erikois- tai yleislääkäreiden määräyksestä ja heidän seurannassaan.;Behandling bör påbörjas och övervakas av läkare (specialister eller ej) med erfarenhet av behandling av diabetesrelaterade sår.
E277;Hoito 3-6 kuukauden ikäisille imeväisikäisille tulee antaa sairaalaoloissa, joissa tarkkailu on mahdollista ja elvytysvälineistö saatavilla.;För spädbarn i åldern 3-6 månader ska behandling ske i sjukhusmiljö där övervakning är möjlig och återupplivningsutrustning finns tillgänglig.
E240;Valmistetta tulee annostella ainoastaan anestesialääkärin toimesta tai anestesialääkärin valvonnassa.;Preparatet skall endast administreras av, eller under övervakande av en anestesiolog.
E238;Valmistetta saa määrätä vaikeiden kiputilojen hoitoon perehtynyt lääkäri.;Preparatet får förskrivas av en läkare som har erfarenhet i behandling av svåra smärttillstånd.
E285;Hoito tulee aloittaa ja sitä tulee seurata Parkinsonin tautiin perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av Parkinsons sjukdom.
E246;Hoidon tulee tapahtua Gaucherin tai Niemann-Pickin tyypin C taudin hoitoon perehtyneen lääkärin valvonnassa.;Behandling skall ges av läkare med god kunskap om behandling av Gauchers sjukdom eller Niemann-Pick typ C.
E247;Hoidon saa aloittaa nivelreuman diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling ska initieras av läkare med erfarenhet av diagnos och behandling av reumatoid artrit.
E248;Hoito on toteutettava verisairauksien hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör ske under övervakning av en läkare med erfarenhet av behandling av hematologiska sjukdomar.
E249;Hoito aloitetaan ja annetaan sellaisen erikoislääkärin valvonnassa, jolla on kokemusta osteosarkooman diagnoosista ja hoidosta.;Behandling ska initieras och övervakas av specialistläkare med erfarenhet av diagnos och behandling av osteosarkom.
E252;Hoito tulee aloittaa ja suorittaa syöpä- ja/tai veritauteihin perehtyneen lääkärin valvonnassa.;Behandlingen ska påbörjas och övervakas av en läkare som har erfarenhet av onkologi och/eller hematologi.
E251;Hoito tulee aloittaa ja suorittaa sellaisen lääkärin valvonnan alaisena, jolla on kokemusta synnynnäisen kroonisen kolestaasin tai perinnöllisen kroonisen kolestaasin hoidosta.;Behandlingen bör initieras och övervakas av en läkare som har erfarenhet av hantering av patienter med medfödd kronisk kolestas eller ärftlig kronisk kolestas.
E253;Rustovaurioiden korjaamiseen perehtyneen kirurgin tulee antaa ChondroCelect ja sitä saa käyttää vain sairaalassa.;ChondroCelect måste administreras av en kirurg med erfarenhet i korrigering av broskdefekter och är avsett endast för användning på sjukhus.
E255;Hoito on aloitettava ja toteutettava CAPS-oireyhtymien diagnosoinnista ja hoidosta kokemusta saaneen erikoislääkärin seurannassa.;Behandlingen bör initieras och övervakas av en specialistläkare med erfarenhet av diagnostisering och behandling av CAPS.
E257;Valmistetta määräävän lääkärin tulee olla perehtynyt aivokasvainten hoitoon.;Preparatet skall endast förskrivas av läkare med erfarenhet av behandling av hjärntumörer.
E258;Ainoastaan syöpälääkkeiden antoon perehtyneen lääkärin tulee aloittaa hoito.;Behandling ska endast inledas av läkare med erfarenhet av administering av medel mot cancer.
E259;Valmistetta saa toimittaa ainoastaan kardiologian, lastenkardiologian, sisätautien tai lastentautien erikoislääkärin tai hänen valvonnassaan sairaalan poliklinikalla tai osastolla toimivan lääkärin määräyksellä.;Preparatet får expedieras endast på ordination av en specialist i kardiologi, barnkardiologi, inremedicin eller pediatrik eller av en läkare under hens övervakning på en sjukhuspoliklinik eller avdelningen.
E261;Koulutetun henkilökunnan tulee antaa lääkevalmiste kliinisessä valvontayksikössä, jossa on valmiudet rytminsiirtoon.;Läkemedelspreparatet ska ges av utbildad personal i en klinisk övervakningsenhet med utrustning för elkonvertering.
E262;Indikaatiossa pulmonaalihypertension hoito valmisteen käytön saa aloittaa ja valvoa vain siihen perehtynyt lääkäri.;I indikation pulmonell arteriell hypertension behandling skall påbörjas och övervakas av en läkare som har erfarenhet av behandling av pulmonell arteriell hypertension.
E254;Hoidon aloittavan ja sitä valvovan lääkärin pitää olla perehtynyt nivelreuman, nivelpsoriaasin tai selkärankareuman diagnosointiin ja hoitoon.;Behandlingen ska initieras och övervakas av specialistläkare med erfarenhet av att diagnostisera och behandla reumatoid artrit, psoriasisartrit eller ankyloserande spondylit.
E256;Valmistetta saa määrätä lääkäri, joka on perehtynyt HIV-1-infektion hoitoon.;Preparatet skall förskrivas av läkare som har erfarenhet av att behandla HIV-1-infektion.
E125;Valmistetta annetaan vain sellaisen erikoislääkärin toimesta, joka on perehtynyt kaularangan dystonian hoitoon ja botulinumtoksiinien käyttöön.;Preparatet skall endast ges av en specialistläkare med god erfarenhet av att behandla cervikal dystoni och av att använda botulinumtoxiner.
E260;Filgrastiimihoitoa tulee antaa ainoastaan yhteistyössä onkologisen keskuksen kanssa, jolla on kokemusta G-CSF -hoidosta ja hematologiasta ja jolla on tarvittavat diagnostiset valmiudet. Mobilisaatio- ja afereesitoimenpiteet tulee suorittaa yhteistyössä sellaisten onkologiaan ja hematologiaan perehtyneiden yksiköiden kanssa, joilla on riittävä alan kokemus ja joissa hematopoeettisten esisolujen seuranta voidaan suorittaa asianmukaisesti.;Behandling med filgrastim bör endast ske i samarbete med en onkologklinik som har erfarenhet av behandling med G-CSF och hematologi och har tillgång till nödvändiga diagnostiska hjälpmedel. Mobilisering och aferes bör utföras i samarbete med en onkolog-hematologklinik med godtagbar erfarenhet inom detta område och där kontroll av utbytet av hematopoetiska stamceller kan göras på ett korrekt sätt.
E263;Valmistetta saadaan käyttää ainoastaan hoitoyksikössä, jossa on käytettävissä sydämen toiminnan seurantaan ja elvytykseen vaadittavat välineet.;Preparatet får användas endast på en medicinsk enhet där utrustning för hjärtövervakning och återupplivning finns tillgänglig.
E264;Valmisteen käyttö tulee aloittaa perinnöllisen angioedeeman diagnosointiin ja hoitoon perehtyneen lääkärin ohjauksessa ja valvonnassa. Valmiste on annettava potilaalle terveydenhuollon ammattilaisen toimesta.;Behandling med preparatet skall inledas under vägledning och övervakning av läkare med erfarenhet av diagnos och behandling av hereditärt angioödem. Preparatet ska administreras av sjukvårdspersonal.
E266;Valmistetta tulee antaa solunsalpaajalääkityksen antoon erikoistuneissa yksiköissä ja syöpälääkitykseen perehtyneen lääkärin valvonnassa.;Preparatet bör administreras i enheter specialiserade på behandling med cytostatika och bör endast administreras under överinseende av läkare med särskild erfarenhet av cancermedicinering.
E132;Vain ihon T-solulymfooman hoitoon perehtyneet lääkärit saavat aloittaa potilaalla hoidon ja ylläpitää sitä.;Behandling skall endast inledas och utföras av läkare med erfarenhet av behandling av patienter med CTCL.
E267;Valmiste tulee antaa sytotoksisen kemoterapian antoon erikoistuneessa yksikössä ja sitä tulee antaa vain sytotoksisten lääkevalmisteiden antoon perehtyneen lääkärin valvonnassa.;Användning av medlet bör enbart ske vid enheter som är specialiserade på administrering av cytotoxisk kemoterapi och medlet bör endast administreras under överinseende av kvalificerad läkare med erfarenhet av användning av cytotoxiska läkemedel.
E108;Hoito tulisi tapahtua sellaisen erikoislääkärin valvonnassa, jolla on kokemusta virtsa-ainekierron häiriöistä.;Behandling bör övervakas av läkare med särskild erfarenhet av behandling av rubbningar i ureaomsättningen.
E110;Hoito tulee aloittaa ja sitä tulee seurata nivelreuman diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit.
E111;Valmistetta saa antaa vain sellaisen lääkärin valvonnassa, joka on perehtynyt kilpirauhassyövän hoitoon.;Preparatet skall endast administreras under överinseende av läkare med erfarenhet av behandling av sköldkörtelcancer.
E112;Valmisteen maahantuonti, myynti ja käyttö on kielletty Suomessa, koska Suomessa rabiesviruksen pääasiallinen levittäjä on supikoira, jolle kliinistä tehoa ei ole osoitettu.;Import, försäljning och förbruk av preparatet är förbjudet i Finland, därför att mårdhund är huvudsaklig vektor för rabiesvirus i Finland och klinisk effekt har inte dokumenterats för mårdhunden.
E113;Hoidon aloittavan lääkärin tulee olla perehtynyt kyseessä olevan sairauden hoitoon.;Behandlingen ska initieras av en läkare med erfarenhet av behandling av sjukdomen.
E114;Valmistetta tulisi käyttää vain hedelmättömyyshoitoihin perehtyneen lääkärin määräyksellä.;Preparatet skall endast förskrivas av en specialist med erfarenhet av fertilitetsbehandling.
E115;Hoidon aloittavan lääkärin tulee olla perehtynyt C-hepatiitin hoitoon.;Behandling ska endast initieras av läkare med erfarenhet av behandling av patienter med hepatit C.
E116;Hoito tulee aloittaa sisätautien, lastentautien, kirurgian, anestesian ja syöpätauteihin perehtyneiden erikoislääkäreiden määräyksellä.;Behandlingen skall påbörjas under ledning av specialister i inre medicin, i barnsjukdomar, i kirurgi, i anestesi samt av specialister orienterade i cancersjukdomar.
E117;Vain lääkärin, jolla on kokemusta tyypin 2 diabeteksen hoidosta tulisi aloittaa hoito.;Behandlingen skall endast initieras av läkare med erfarenhet av behandling av typ 2 diabetes.
E118;Visudynea saa käyttää vain verkkokalvon keskeisen osan ikään liittyvän rappeuman (makularappeuman), tai patologisen likitaitteisuuden hoitoon perehtynyt silmätautien erikoislääkäri.;Visudyne får enbart användas av oftalmologer med erfarenhet av behandling av patienter med åldersrelaterad makula degeneration eller patologisk myopi.
E119;Myocetia tulee käyttää vain solunsalpaajahoitoihin erikoistuneissa yksiköissä ja antaa vain solunsalpaajahoitoon perehtyneen lääkärin valvonnassa.;Behandling med Myocet bör begränsas till sjukhus som är specialiserade på administrering av cytotoxisk kemoterapi och bör endast ges av läkare med erfarenhet av kemoterapi.
E120;Hoito tulee aloittaa hemofilian hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör påbörjas i samråd med läkare med erfarenhet av behandling av hemofili.
E121;Hoito on aloitettava solunsalpaajahoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör bara initieras av läkare med erfarenhet av administration av cytostatika.
E122;Vain erikoislääkärin, jolla on kokemusta Kaposin sarkooma (KS) potilaiden hoidosta, tulee aloittaa ja valvoa hoitoa.;Behandling får endast initieras och upprätthållas av specialistläkare med erfarenhet av att behandla patienter med Kaposis sarkom.
E123;Valmistetta tulisi antaa vain sytotoksisten aineiden käyttöön perehtyneen onkologin valvonnassa.;Preparatet ska bara administreras under överinseende av en onkolog specialiserad på administrering av cytotoxiska medel.
E124;Lääkevalmiste on tarkoitettu käytettäväksi vain sairaaloissa tai isotooppidiagnostiikkaan erikoistuneissa yksiköissä, jolloin sitä käsittelevät vain radiofarmaseuttisilla tuotteilla kuvantamiseen perehtyneet henkilöt.;Läkemedlet är avsett endast för sjukhusbruk, eller på speciellt utrustade nukleärmedicinska enheter, och ska administreras av personer med erfarenhet av användning av radioisotoper för bilddiagnostik.
